order_id,items
1,"Taco, Wrap"
2,"Sushi, Tea"
3,"Salad, Donut"
4,"Taco, Wrap"
5,"Burger, Fries, Coke"
6,"Pasta, Salad"
7,"Tea, Burger, Pasta"
8,"Burger, Fries, Coke, Taco"
9,"Pizza, Coke"
10,"Taco, Wrap"
11,"Pizza, Coke"
12,"IceCream, Sushi"
13,"Sushi, Tea"
14,"Sushi, Pizza, Taco"
15,"IceCream, Donut, Sandwich"
16,"Taco, Wrap"
17,"IceCream, Donut, Donut"
18,"Taco, Pasta, Sushi"
19,"Burger, Pasta"
20,"Pizza, Coke, Taco"
21,"IceCream, Donut"
22,"Nuggets, Burger"
23,"Donut, Taco, Coke, Pizza"
24,"Taco, Wrap, Smoothie"
25,Salad
26,"Pizza, Coke, Pizza"
27,"Burger, Fries, Coke"
28,"Pasta, Salad"
29,"Taco, Wrap"
30,"Pizza, Coke"
31,Pizza
32,"Pasta, Salad, Nuggets"
33,"IceCream, Donut, Smoothie"
34,Donut
35,"Burger, Fries, Coke"
36,"Pasta, Salad, Nuggets"
37,"Soup, Nuggets, Wrap"
38,"Burger, Fries, Coke"
39,"IceCream, Donut"
40,"Burger, Fries, Coke"
41,"Taco, Wrap"
42,"Taco, Wrap"
43,"Burger, Fries, Coke, Smoothie"
44,Taco
45,"Pizza, Coke"
46,"Sushi, Tea, Taco"
47,"Pizza, Coke"
48,"Sushi, Tea, Burger"
49,Fries
50,"Pasta, Salad"
51,"Pasta, IceCream"
52,"Salad, Coke, Sushi"
53,"Pizza, Tea, Smoothie, Nuggets"
54,"Sushi, Tea"
55,"Pizza, Coke"
56,"Pasta, Salad"
57,"Pizza, Coke, Tea"
58,"Salad, Smoothie"
59,"Pasta, Smoothie"
60,"Taco, Wrap, Taco"
61,"Pasta, Salad"
62,"IceCream, Donut"
63,"Nuggets, Tea"
64,"Sushi, Tea, Salad"
65,Soup
66,Sushi
67,"Taco, Wrap"
68,"Taco, Wrap"
69,"Pasta, Salad"
70,"Burger, Fries, Coke, Coke"
71,"Taco, Sushi, IceCream"
72,"Sushi, Tea"
73,"Pizza, Taco, Tea"
74,Fries
75,"Pizza, Coke"
76,"Taco, Wrap, Pizza"
77,"IceCream, Donut, Sushi"
78,"IceCream, Donut"
79,"IceCream, Taco"
80,"Pasta, Salad"
81,"Nuggets, Burger"
82,"Burger, Fries, Coke, Burger"
83,"Wrap, Pizza"
84,"Sushi, Tea"
85,"Donut, Sushi"
86,"Tea, Coke"
87,"Taco, Wrap"
88,"Taco, Wrap"
89,"Pasta, Salad"
90,"Pasta, Salad"
91,"Burger, Fries, Coke"
92,"Pizza, Coke"
93,Salad
94,"Taco, Wrap"
95,"Taco, Soup"
96,Sushi
97,"Pasta, Salad, Salad"
98,"Sushi, Tea, Sushi"
99,"Pasta, Salad, Smoothie"
100,"Pizza, Coke"
101,"Fries, Pasta, Donut"
102,"Taco, Wrap"
103,"Pasta, Donut, Sandwich, Pizza"
104,"Coke, Pizza"
105,"Nuggets, Pasta"
106,"Sandwich, IceCream"
107,"Pizza, Coke"
108,"Burger, Fries, Coke"
109,"Sushi, Donut, Smoothie, Wrap"
110,"IceCream, Donut"
111,Fries
112,"Pizza, Coke"
113,"Pasta, Pizza, Taco"
114,"Taco, Wrap"
115,"Tea, Coke"
116,"Pizza, Coke"
117,"Pasta, Salad, Taco"
118,"IceCream, Donut"
119,"Burger, Fries, Coke, Coke"
120,"IceCream, Donut"
121,"Pizza, Coke"
122,"Pasta, Salad"
123,"Burger, Fries, Coke"
124,"Burger, Fries, Coke, Sushi"
125,"Burger, Fries, Coke"
126,"Pasta, Salad"
127,"Pasta, Salad, Coke"
128,"Burger, Fries, Coke, Donut"
129,"Pasta, Salad"
130,"IceCream, Donut"
131,"Sushi, Tea"
132,"Pizza, Coke"
133,"Sushi, Tea"
134,"Taco, Wrap"
135,"Pizza, Coke"
136,"Taco, Wrap"
137,Sandwich
138,"Donut, Sushi, Pasta"
139,"Pizza, Coke, Nuggets"
140,"Pizza, Coke"
141,Soup
142,"Taco, Wrap"
143,"Sushi, Taco"
144,"Fries, Smoothie, Pizza, Salad"
145,"Taco, Wrap"
146,"Pasta, Salad"
147,Pizza
148,IceCream
149,"Tea, Sandwich, Donut, Soup"
150,"Pizza, Coke, Sandwich"
151,"Pasta, Salad"
152,"Taco, Wrap"
153,"Pizza, Coke"
154,"Soup, Donut"
155,"IceCream, Nuggets"
156,Tea
157,"IceCream, Donut"
158,Sushi
159,Sandwich
160,"Taco, Wrap"
161,"IceCream, Donut"
162,"Burger, Fries, Coke"
163,"Pizza, Donut"
164,"Donut, Nuggets"
165,"Pasta, Salad"
166,"Pizza, Coke"
167,Wrap
168,"Donut, Sandwich, Smoothie"
169,"IceCream, Donut"
170,"IceCream, Donut, Donut"
171,"Pasta, Salad"
172,"Taco, Wrap"
173,"Sushi, Fries"
174,"Fries, Wrap, Coke"
175,"Taco, Wrap, Pasta"
176,"Wrap, Burger, Nuggets"
177,"Burger, Sandwich, Fries, Salad"
178,"Donut, Soup"
179,"IceCream, Donut"
180,"Burger, Fries, Coke"
181,"Taco, Wrap"
182,"Pasta, Salad, Pizza"
183,"Sushi, Tea"
184,"Soup, Coke"
185,"Sandwich, Nuggets"
186,"Burger, Fries, Coke"
187,"Pasta, Salad, Burger"
188,"Burger, Fries, Coke, Taco"
189,"Nuggets, Wrap"
190,"Salad, Donut"
191,IceCream
192,"Burger, Fries, Coke, Soup"
193,Sushi
194,"Pasta, Salad"
195,"Pizza, Coke"
196,"Sandwich, Pasta"
197,"Pasta, Salad, Tea"
198,"Tea, Coke, Taco, Soup"
199,"Pasta, Salad"
200,"Taco, Wrap, Tea"
201,"Burger, Pizza"
202,"Pizza, Coke"
203,"Sandwich, Pizza, Fries, Burger"
204,"Nuggets, Salad, Smoothie"
205,"Sushi, Tea"
206,"Pasta, Salad"
207,"Pizza, Taco"
208,"Burger, Salad, Smoothie, Wrap"
209,"Sushi, Tea"
210,"Burger, Fries, Coke, Taco"
211,"Pizza, Coke"
212,"IceCream, Donut, IceCream"
213,"Pasta, Salad"
214,"Sushi, Tea"
215,"Taco, Wrap, Donut"
216,"Soup, Smoothie"
217,"Taco, Wrap"
218,"Pizza, Coke, Smoothie"
219,"Taco, Wrap"
220,Nuggets
221,Salad
222,"Taco, Wrap, Smoothie"
223,"Pasta, Salad"
224,"IceCream, Donut"
225,"Taco, Pizza"
226,"Pizza, Wrap"
227,"Burger, Donut, Coke"
228,"Taco, Wrap, Smoothie"
229,"Smoothie, Taco"
230,"Sushi, Coke"
231,"Burger, Fries, Coke"
232,Salad
233,"Coke, Sushi, Tea"
234,"IceCream, Coke, Sandwich, Donut"
235,"IceCream, Donut"
236,"Sushi, Tea, Donut"
237,"Smoothie, Soup"
238,"Pasta, Salad, Sushi"
239,"Sandwich, Sushi"
240,"Taco, Wrap"
241,"Taco, Pasta"
242,"Burger, Fries, Coke"
243,"Taco, Nuggets, Tea"
244,"Sushi, Tea"
245,"Pizza, Coke"
246,Coke
247,"Soup, Donut"
248,"Pasta, Salad, IceCream"
249,"Tea, Pizza"
250,"Coke, Burger"
251,"Sushi, Tea, Sandwich"
252,"IceCream, Donut"
253,"Taco, Wrap"
254,"Pizza, Coke"
255,"Taco, Wrap"
256,"Burger, Fries, Coke"
257,"Pasta, Salad"
258,"Sushi, Tea"
259,"Taco, Wrap, Wrap"
260,"Pasta, Wrap, Burger, Pizza"
261,Pizza
262,"Pizza, Coke"
263,"Pasta, Salad, Tea"
264,"Pasta, Salad, Tea"
265,"IceCream, Donut, Sushi"
266,"IceCream, Donut"
267,IceCream
268,"Pizza, Coke"
269,"Sushi, Burger"
270,"Pizza, Coke"
271,"IceCream, Donut"
272,"Sushi, Tea, Pizza"
273,"Sushi, Tea, Taco"
274,"Sandwich, Nuggets"
275,"Pasta, Salad, Donut"
276,"Burger, Fries, Coke, Coke"
277,"Smoothie, Wrap"
278,"Pasta, Nuggets"
279,"Sushi, Tea"
280,"Sushi, Tea, Pasta"
281,"Pizza, Coke, Donut"
282,"IceCream, Donut, Donut"
283,"IceCream, Donut, Fries"
284,"Tea, Sandwich, Smoothie"
285,"Taco, Wrap"
286,"Taco, Wrap"
287,"Taco, Wrap, Nuggets"
288,Pizza
289,Pizza
290,Tea
291,"Coke, Pizza"
292,"IceCream, Donut, Soup"
293,"Taco, Wrap"
294,"Burger, Fries, Coke"
295,"IceCream, Donut, Soup"
296,"Taco, Wrap"
297,"Taco, Wrap, Wrap"
298,"Coke, Burger"
299,"Soup, Wrap"
300,Soup
301,"Pasta, Burger"
302,"Burger, Tea"
303,"IceCream, Donut, Sushi"
304,"Sushi, Tea"
305,"Coke, Sandwich, Donut"
306,IceCream
307,"Sushi, Tea, Pizza"
308,"Tea, Sushi"
309,"Nuggets, Pasta, Coke"
310,"Sushi, Tea"
311,"IceCream, Donut, Taco"
312,"Taco, Soup, Tea, Fries"
313,"Taco, Wrap"
314,"Pasta, Salad, Fries"
315,"Sushi, Tea"
316,"Taco, IceCream, Soup"
317,"Pizza, Coke"
318,"Burger, Fries, Coke"
319,"Fries, Donut, Wrap"
320,"Pasta, Salad"
321,"IceCream, Sandwich, Taco, Sushi"
322,"Sandwich, Taco, Fries, Nuggets"
323,"Salad, Pizza"
324,"IceCream, Donut"
325,"Sushi, Tea"
326,Fries
327,"Pasta, Salad, Salad"
328,"Sushi, Tea, Smoothie"
329,"Pasta, Salad"
330,Wrap
331,"Tea, Wrap"
332,"Pasta, Salad, Coke"
333,"Pasta, Salad"
334,"Sandwich, Tea"
335,"Soup, Coke, Smoothie, Burger"
336,"IceCream, Donut"
337,"Sushi, Tea"
338,Taco
339,"IceCream, Donut"
340,"Sushi, Tea"
341,"Pasta, Salad, Salad"
342,Nuggets
343,"Nuggets, Coke, Pizza"
344,"IceCream, Donut"
345,"Sushi, Tea, Nuggets"
346,"Sushi, Tea"
347,"Sandwich, Burger, Soup, Salad"
348,"Sandwich, Pasta"
349,"Pasta, Salad"
350,"Taco, Wrap, Nuggets"
351,"Taco, Wrap"
352,"Pasta, Salad"
353,"Salad, Taco"
354,"Burger, Fries, Coke"
355,"Burger, Fries, Coke"
