order_id,items
1,"Sushi, Pasta"
2,"Pizza, Coke"
3,"Fries, Burger"
4,"IceCream, Donut"
5,"Taco, Wrap, Smoothie"
6,"Burger, Pasta"
7,"Salad, Pasta, Taco, Soup"
8,"Pasta, Taco, Pizza"
9,"Wrap, Taco, Donut"
10,"Pizza, Coke"
11,"Pasta, Salad"
12,Pasta
13,"Sandwich, Salad, Wrap, Sushi"
14,"Sushi, Pizza, Coke"
15,Sushi
16,IceCream
17,"Pasta, Salad"
18,"Pizza, Coke"
19,"Taco, Nuggets, Tea, Sandwich"
20,"Fries, Wrap, IceCream"
21,"Pasta, Salad"
22,"Nuggets, Pasta"
23,"Sushi, Tea"
24,"Taco, Wrap"
25,"IceCream, Sandwich, Donut, Sushi"
26,"IceCream, Sandwich"
27,"Pizza, Coke, IceCream"
28,"Sushi, Tea, Tea"
29,"Burger, Nuggets"
30,"Pasta, Smoothie"
31,"Taco, Wrap"
32,"Pizza, Coke"
33,"Pizza, Coke"
34,"IceCream, Donut"
35,"Pizza, Coke, Donut"
36,"Pasta, Salad"
37,"Taco, Wrap"
38,"Pizza, Coke"
39,"Salad, Soup, Sandwich, Pasta"
40,"IceCream, Donut"
41,"Pizza, Coke"
42,"Donut, Taco"
43,"Pasta, Sandwich"
44,"Pizza, Wrap"
45,"Pasta, Salad"
46,"Taco, Wrap"
47,"IceCream, Donut"
48,"Taco, Wrap, Tea"
49,"Tea, Wrap"
50,"Donut, Burger"
51,"Taco, Wrap"
52,"Burger, Fries, Coke"
53,"Donut, Salad"
54,"Burger, Fries, Taco"
55,"Burger, Fries, Coke"
56,"Wrap, Fries, Tea"
57,"IceCream, Donut"
58,"IceCream, Donut"
59,"IceCream, Donut, Coke"
60,"Burger, Fries, Coke, Pasta"
61,"Pizza, Coke"
62,"IceCream, Donut, IceCream"
63,"Sushi, Tea"
64,"IceCream, Donut"
65,"Pasta, Salad"
66,"IceCream, Donut, IceCream"
67,"Sushi, Tea"
68,"Pasta, Fries"
69,"Sushi, Tea, Soup"
