order_hour,Restaurant ID,Items in order,env_temp,env_rhum,env_precip,env_wspd,env_condition
2024-09-01 00:00:00,1,"1 x Indian Masala Fries, 1 x Bageecha Pizza",28.0,94.0,0.0,0.0,Cloudy
2024-09-01 01:00:00,1,"1 x Margherita Pizza, 2 x Herbed Potato, 1 x Mushroom Mozzarella Melt | 1 x Chilli Cheese Garlic Bread",28.2,89.0,0.0,3.7,Cloudy
2024-09-01 02:00:00,3,"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken | 1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries | 1 x Bone in Kabuli Grilled Chicken | 1 x Bageecha Pizza, 1 x Grilled Tangdis | 1 x All About Chicken Pizza, 1 x Just Pepperoni Pizza, 1 x Indian Masala Fries | 1 x Cheesy Garlic Bread | 1 x All About Chicken Pizza",28.6,87.0,0.0,5.5,Clear
2024-09-01 03:00:00,3,"1 x AAC Signature Fries | 1 x AAC Saucy Fries | 1 x Jamaican Chicken Melt, 1 x Margherita Pizza | 1 x Indian Masala Fries, 1 x Cheesy Garlic Bread | 1 x Murgh Amritsari Garlic Bread, 1 x Cheesy Garlic Bread",30.2,84.0,0.0,9.4,Clear
2024-09-01 11:00:00,3,"1 x Murgh Amritsari Garlic Bread | 1 x Herbed Potato, 1 x Just Pepperoni Pide | 1 x Murgh Amritsari Garlic Bread",33.0,68.0,0.0,7.4,Cloudy
2024-09-01 12:00:00,3,"1 x Grilled Chicken Peri Peri Tangdi | 1 x Murgh Amritsari Seekh Pizza | 1 x Bellpepper Onion Pizza | 1 x All About Chicken Pizza, 1 x Herbed Potato | 1 x Bageecha Pizza",35.2,60.0,0.0,0.0,Cloudy
2024-09-01 13:00:00,6,"1 x Grilled Chicken Peri Peri Tender | 1 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Indian Pico De-Gallo | 1 x Bageecha Pizza | 1 x Masala Potato Pide | 1 x Cheesy Garlic Bread, 1 x Bellpepper Onion Pizza | 1 x Bageecha Pizza | 1 x All About Chicken Pizza, 1 x Jamaican Chicken Melt | 1 x Malai Gud Pide, 1 x Murgh Amritsari Seekh Pizza, 1 x Jamaican Chicken Melt",31.9,73.0,0.0,7.4,Cloudy
2024-09-01 14:00:00,2,"1 x Margherita Pizza | 1 x Peri Peri Grilled Chicken Pizza, 1 x Chicken Pepperoni Pizza | 1 x Margherita Pizza, 2 x Indian Masala Fries | 1 x All About Chicken Pizza",31.2,76.0,0.0,7.4,Cloudy
2024-09-01 15:00:00,4,"1 x Tripple Cheese Pizza | 1 x Bageecha Pizza | 1 x Bageecha Pizza | 1 x Makhani Paneer Pizza | 1 x All About Chicken Pizza, 1 x Indian Masala Fries | 1 x Mushroom Pizza | 1 x Murgh Amritsari Seekh Pide",31.8,78.0,0.0,0.0,Cloudy
2024-09-01 16:00:00,4,"1 x Grilled Chicken Jamaican Tender, 1 x AAC Signature Krispers, 1 x Grilled Chicken Smoky BBQ Tangdi | 1 x Desi Chicken Pepperoni Pizza | 1 x Mushroom Pizza | 1 x Peri Peri Grilled Chicken Pizza, 1 x Cheesy Garlic Bread | 1 x Murgh Amritsari Seekh Pizza, 1 x Murgh Amritsari Seekh Pide",30.2,81.0,0.0,5.5,Other
2024-09-01 17:00:00,6,"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Angara Tender, 2 x Salted Krispers | 1 x Chilli Cheese Garlic Bread | 1 x Indian Masala Fries, 1 x Cheesy Garlic Bread | 1 x Masala Paneer Pide, 1 x Garlic Aioli | 1 x Masala Paneer Pide | 2 x Chilli Cheese Garlic Bread | 1 x Murgh Amritsari Seekh Pide, 1 x Cheesy Garlic Bread | 1 x Bone in Peri Peri Grilled Chicken | 1 x Grilled Chicken Jamaican Tender, 1 x Bone in Kabuli Grilled Chicken",29.8,82.0,0.0,3.7,Other
2024-09-01 18:00:00,5,"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken | 2 x Fried Chicken Strips | 1 x Grilled Tangdis, 1 x All About Chicken Pizza, 1 x Peri Peri Paneer Pizza | 1 x Mushroom Mozzarella Melt | 1 x Chilli Cheese Garlic Bread, 1 x Jamaican Chicken Melt, 1 x Angara Paneer Melt | 1 x Fried Chicken Ghostbuster Tender",30.6,76.0,0.0,7.6,Other
2024-09-01 19:00:00,7,"1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries, 1 x Bone in Angara Grilled Chicken | 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken | 1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Peri Peri Grilled Chicken | 1 x Grilled Chicken Jamaican Tender, 1 x Bone in Peri Peri Grilled Chicken | 1 x Cheesy Garlic Bread, 1 x Just Pepperoni Pizza | 1 x Murgh Amritsari Seekh Pide | 1 x Margherita Pizza, 1 x Chicken Pepperoni Pizza | 1 x Peanut Butter Chocolate Pide, 1 x Bageecha Pizza, 1 x Iced Green Tea - Mojito | 1 x Peri Peri Fries, 1 x Chilli Cheese Garlic Bread, 1 x Margherita Pizza | 1 x Herbed Potato, 1 x Bageecha Pizza | 1 x Bacon Pepperoni Melt, 1 x All About Chicken Pizza, 1 x Peri Peri Paneer Melt | 1 x Just Pepperoni Pide, 1 x Murgh Amritsari Seekh Pizza | 1 x Mushroom Mozzarella Melt | 1 x Fried Chicken Ghostbuster Tender | 1 x All About Chicken Pizza, 1 x Peanut Butter Chocolate Pide | 1 x Bageecha Pizza | 1 x All About Chicken Pizza, 1 x Just Pepperoni Pizza | 1 x Carribean Jerk Boneless Grilled Chicken Breast",29.0,86.0,0.0,1.8,Other
2024-09-01 20:00:00,8,"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries | 1 x Bone in Jamaican Grilled Chicken | 1 x Fried Chicken Classic Tender | 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken | 1 x Grilled Chicken Jamaican Tender | 1 x Jamaican Chicken Melt | 1 x Jamaican Chicken Melt | 1 x Masala Paneer Pide | 1 x Chicken Pepperoni Pizza | 1 x Murgh Amritsari Garlic Bread, 1 x Grilled Tangdis | 1 x Masala Omelette Pide | 1 x Peri Peri Grilled Chicken Pizza, 3 x Grilled Tangdis | 1 x Peri Peri Paneer Pizza, 1 x OG Cheese Pide | 1 x Masala Paneer Pide | 1 x Chicken Pepperoni Pizza | 1 x Bageecha Pizza | 1 x Mutton Seekh Pizza, 1 x Spinach Sumac Pide | 1 x Masala Potato Pide | 1 x Murgh Amritsari Seekh Pizza | 1 x Bageecha Pizza, 1 x All About Chicken Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Masala Potato Pide | 1 x Margherita Pizza | 1 x Makhani Paneer Pizza, 1 x Jamaican Chicken Melt, 1 x Chilli Cheese Garlic Bread | 1 x Masala Potato Pide, 1 x Bageecha Pizza | 1 x Bone in Smoky Bbq Grilled Chicken | 1 x Grilled Chicken Smoky BBQ Tender",28.6,87.0,0.0,1.8,Other
