"timestamp","orders_per_hour","sales_per_hour","subtotal","total","promotion_type"
"2025-09-30 16:00:00","13","4361.979983665558","3925.781985299003","4361.979983665558","discount_10"
"2025-09-30 17:00:00","14","6187.52775862516","5568.774982762644","6187.52775862516","discount_20"
"2025-09-30 18:00:00","31","10541.093194225405","9486.983874802865","10541.093194225405","discount_10"
"2025-09-30 19:00:00","24","10812.017363386512","9730.815627047861","10812.017363386512","discount_20"
"2025-09-30 20:00:00","27","8668.216196841424","7801.394577157282","8668.216196841424","no_promo"
"2025-09-30 21:00:00","28","11354.264681907332","10218.838213716599","11354.264681907332","combo_deal"
"2025-09-30 22:00:00","8","2478.7486311628686","2230.873768046582","2478.7486311628686","no_promo"
"2025-09-30 23:00:00","6","2037.2735919406412","1833.546232746577","2037.2735919406412","free_delivery"
"2025-10-01 00:00:00","2","600.3460447258515","540.3114402532664","600.3460447258515","discount_10"
"2025-10-01 01:00:00","10","4447.091534102889","4002.3823806926007","4447.091534102889","discount_10"
"2025-10-01 02:00:00","8","2941.569566765262","2647.412610088736","2941.569566765262","discount_10"
"2025-10-01 03:00:00","2","834.5930371581743","751.1337334423569","834.5930371581743","no_promo"
"2025-10-01 04:00:00","9","3023.618026816199","2721.256224134579","3023.618026816199","free_delivery"
"2025-10-01 05:00:00","4","691.589108522083","622.4301976698748","691.589108522083","no_promo"
"2025-10-01 06:00:00","8","3430.5608876840006","3087.5047989156005","3430.5608876840006","discount_20"
"2025-10-01 07:00:00","5","1195.3512973580348","1075.8161676222314","1195.3512973580348","discount_10"
"2025-10-01 08:00:00","26","10743.02615387281","9668.723538485528","10743.02615387281","free_delivery"
"2025-10-01 09:00:00","13","5521.69339337137","4969.524054034233","5521.69339337137","no_promo"
"2025-10-01 10:00:00","15","6929.555574670254","6236.600017203229","6929.555574670254","combo_deal"
"2025-10-01 11:00:00","23","9109.030122818482","8198.127110536634","9109.030122818482","free_delivery"
"2025-10-01 12:00:00","36","14036.52315526975","12632.870839742774","14036.52315526975","discount_10"
"2025-10-01 13:00:00","16","6584.648317933199","5926.183486139879","6584.648317933199","no_promo"
"2025-10-01 14:00:00","28","10552.48146630564","9497.233319675077","10552.48146630564","discount_10"
"2025-10-01 15:00:00","18","8655.228206067635","7789.705385460872","8655.228206067635","discount_20"
"2025-10-01 16:00:00","22","8028.160800790264","7225.344720711238","8028.160800790264","discount_20"
"2025-10-01 17:00:00","12","4190.05476251194","3771.0492862607457","4190.05476251194","discount_10"
"2025-10-01 18:00:00","25","10228.790953268794","9205.911857941914","10228.790953268794","free_delivery"
